,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
3079,214607,Pennsylvania State University-Penn State Great Valley,Malvern,PA,19355-1488,,,,
3080,214616,Pennsylvania State University-College of Medicine,Hershey,PA,17033-2360,,,,
3081,214625,Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,0.7676,573.0,13694.0,
3082,214634,Pennsylvania State University-Penn State Shenango,Sharon,PA,16146-1537,0.7428,345.0,13324.0,
3083,214643,Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,18627-0217,0.8245,404.0,13568.0,
3084,214652,Pennsylvania State University-Penn State Scranton,Dunmore,PA,18512-1602,0.7792,1003.0,14460.0,
3085,214670,Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,18034-8447,0.8534,823.0,14460.0,
3086,214689,Pennsylvania State University-Penn State Altoona,Altoona,PA,16601-3777,0.9225,3451.0,15190.0,
3087,214698,Pennsylvania State University-Penn State Beaver,Monaca,PA,15061-2764,0.8131,598.0,13694.0,
3088,214704,Pennsylvania State University-Penn State Berks,Reading,PA,19610-1016,0.857,2635.0,15190.0,
3089,214713,Pennsylvania State University-Penn State Harrisburg,Middletown,PA,17057-4846,0.8375,4223.0,15190.0,
3090,214731,Pennsylvania State University-Penn State Brandywine,Media,PA,19063-5522,0.8703,1366.0,14460.0,
3091,214740,Pennsylvania State University-Penn State DuBois,DuBois,PA,15801-2549,0.8387,497.0,13632.0,
3092,214759,Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,0.8214,649.0,13632.0,
3093,214768,Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,0.9352,699.0,14460.0,
3094,214777,Pennsylvania State University-Main Campus,University Park,PA,16802-1503,0.5031,40553.0,18436.0,
3095,214786,Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,0.8187,488.0,13694.0,
3096,214795,Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,0.7476,759.0,13694.0,
3097,214801,Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,0.8523,3674.0,14516.0,
3098,214810,Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,0.7555,695.0,14398.0,
3099,214829,Pennsylvania State University-Penn State York,York,PA,17403-3326,0.825,899.0,14460.0,
3100,214883,Peirce College,Philadelphia,PA,19102-4699,,1381.0,15060.0,
3101,214892,Penn Commercial Business/Technical School,Washington,PA,15301-6822,0.9539,225.0,20000.0,
3102,214944,Pennco Tech-Bristol,Bristol,PA,19007,,315.0,,
3103,214971,Pennsylvania Academy of the Fine Arts,Philadelphia,PA,19102-1510,0.927,188.0,37096.0,
3104,215008,Pennsylvania Gunsmith School,Pittsburgh,PA,15202-2637,,79.0,,
3105,215044,Cortiva Institute-King of Prussia,King of Prussia,PA,19406,,172.0,,
3106,215053,Pennsylvania College of Art and Design,Lancaster,PA,17608-0059,0.5,257.0,25000.0,
3107,215062,University of Pennsylvania,Philadelphia,PA,19104-6303,0.093,10660.0,53534.0,
3108,215099,Jefferson (Philadelphia University + Thomas Jefferson University),Philadelphia,PA,19144-5497,0.5966,2669.0,39280.0,
3109,215105,The University of the Arts,Philadelphia,PA,19102-4901,0.7404,1662.0,43100.0,
3110,215114,Cairn University-Langhorne,Langhorne,PA,19047-2990,0.9855,757.0,26493.0,
3111,215123,Philadelphia College of Osteopathic Medicine,Philadelphia,PA,19131,,,,
3112,215132,University of the Sciences,Philadelphia,PA,19104-4495,0.6076,1268.0,39994.0,
3113,215239,Community College of Philadelphia,Philadelphia,PA,19130-3991,,16012.0,5142.0,
3114,215266,University of Pittsburgh-Bradford,Bradford,PA,16701,0.5436,1296.0,13900.0,
3115,215275,University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,0.7327,1521.0,13870.0,
3116,215284,University of Pittsburgh-Johnstown,Johnstown,PA,15904,0.7598,2776.0,13876.0,
3117,215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,0.5971,19134.0,19080.0,
3118,215309,University of Pittsburgh-Titusville,Titusville,PA,16354,0.6311,292.0,11788.0,
3119,215336,Beaver Falls Beauty Academy,Beaver Falls,PA,15010-4208,,36.0,,
3120,215381,Pittsburgh Institute of Aeronautics,West Mifflin,PA,15122,,409.0,20945.0,
3121,215390,Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,15206-3706,0.8058,209.0,,
3122,215415,Pittsburgh Technical College,Oakdale,PA,15071,,1739.0,16817.0,
3123,215424,Pittsburgh Theological Seminary,Pittsburgh,PA,15206-2596,,,,
3124,215442,Point Park University,Pittsburgh,PA,15222-1984,0.6486,3230.0,30130.0,
3125,215479,Joseph F McCloskey School of Nursing,Pottsville,PA,17901,,63.0,,
3126,215530,The Salon Professional Academy-Altoona,Altoona,PA,16601-2419,,69.0,,
